operatingSys,subcategory,description,what_is_new,url,NumInstall,DatePublished,softwareVersion,size,topDeveloper,reviews_num,Num_star,app_name
      4.2 and up    ,Casino,"***Best Bingo AND Live Casino Slots at the SAME TIME!***,""Bingo Island has become one of the most popular and innovative social gaming experiences on Facebook."" - Inside Social Games ,Download the best FREE Bingo & Slots game for your iPad & iPhone! Choose from our exclusive, tropical themed new Bingo Rooms, play with up to 20 cards, and go for a BIG Jackpot win on the Slots! Be sure to stay tuned for special offers and new rooms! Play Bingo Island today!,Best Bingo AND Live Casino Slots at the SAME TIME!,Bingo Island takes the classic game of Bingo to the next level. Daub your Bingo cards manually or automatically, spin the slots, and trade gifts with friends… all at the same time! Do you have what it takes to play 20 cards at once? Find out now!,REAL-TIME COMMUNITY EXPERIENCE,Meet your friends on the Island for a game of Bingo or join a game with Bingo players from around the world! Make new friends in the chat as you play Bingo and Slots! Keep an eye out for in game trivias!,LEVEL UP,Level up by trading gifts from the Shop with others. Unlock new tropical themed Bingo rooms and Slot machines as you go! We have 200+ Levels!,TROPICAL BINGO ROOMS,Choose from our exclusive, tropical themed Bingo rooms! Looking for romance? Play in the Cabana Amore room! In need of some R&R? Play in the relaxing Island Spa room! Bingo Island has something for everyone! ,SLOTS,Each Bingo room has its very own themed Slot machine! Place your bet, spin the Slots, and WIN BIG!,SPECIAL/SEASONAL ROOMS,We have themed online Bingo rooms for every special occasion! Meet your friends on the Island and celebrate special holidays together. Follow our Facebook page and stay updated on new rooms!,HOW TO PLAY,- Join your favorite tropical themed Bingo room!,- Choose how many Bingo cards you want to play with!,- Daub manually or have the game daub automatically for you!,- Place your bet, spin the slots, and WIN BIG!,- Level up by trading gifts from the Shop with others!,- Unlock new Bingo rooms and Live Casino Slot machines!,- Play with Bingo players from around the world! Make new friends in the chat!,PLAYERS REVIEWS,""I used to play in Bingo Blitz, Bingo Bash and other Bingo games, but this one is the best!"",""Definitely the best free bingo from all the bingo games out there"",""Number one Bingo game in the AppStore"" ,FIND OUT MORE!,Like us on Facebook: Facebook.com/BingoIslandCommunity,Follow us on Twitter: Twitter.com/bingoisland,Enjoy Bingo Island on your PC through Facebook: ,https://apps.facebook.com/bingoisland,NOTE,1.	The games are intended for an adult audience. (E.g Intended for use by those 21 or older) ,2.	The games do not offer ""real money gambling"" or an opportunity to win real money or prizes. (E.g The game is for amusement purposes only),3.	Practice or success at social casino gaming does not imply future success at ""real money gambling.""",,,"  10,000 - 50,000  ",29-Feb-16, 1.30.35  , 59M  ,,152,4.4,Bingo Island- FREE Bingo Slots
      4.0.3 and up    ,Strategy,"Enter the Arena! From the creators of Clash of Clans comes a real-time multiplayer game starring the Royales, your favorite Clash characters and much, much more.,Collect and upgrade dozens of cards featuring the Clash of Clans troops, spells and defenses you know and love, as well as the Royales: Princes, Knights, Baby Dragons and more. Knock the enemy King and Princesses from their towers to defeat your opponents and win Trophies, Crowns and glory in the Arena. Form a Clan to share cards and build your very own battle community.,Lead the Clash Royale Family to victory!,PLEASE NOTE! Clash Royale is free to download and play, however, some game items can also be purchased for real money.If you do not want to use this feature, please set up password protection for purchases in the settings of your Google Play Store app. Also, under our Terms of Service and Privacy Policy, you must be at least 13 years of age to play or download Clash Royale.,A network connection is also required.,FEATURES,● Duel players from around the world in real-time and take their Trophies,● Earn chests to unlock rewards, collect powerful new cards and upgrade existing ones,● Destroy opponent’s towers and win Crowns to earn epic Crown chests,● Build and upgrade your card collection with the Clash Royale Family along with dozens of your favorite Clash troops, spells and defenses,● Construct your ultimate Battle Deck to defeat your opponents,● Progress through multiple Arenas all the way to the top,● Form a Clan to share cards and build your very own battle community,● Challenge your Clanmates and friends to a private duel,● Learn different battle tactics by watching the best duels on TV Royale,Support,Are you having problems? Visit ,http://supercell.helpshift.com/a/clash-royale/, or ,http://supr.cl/ClashRoyaleForum, or contact us in game by going to Settings > Help and Support.,Privacy Policy: ,http://supercell.com/en/privacy-policy/,Terms of Service:,http://supercell.com/en/terms-of-service/,Parent’s Guide:,http://supercell.com/en/parents/",,,"  10,000,000 - 50,000,000  ",2-Mar-16, 1.2.3  , 87M  ,Top Developer,"1,900,535",4.5,Clash Royale
      2.3 and up    ,Casino,"***The most original free-to-play slots game in years!***,With Titan Slots II, you'll uncover the mystery of the gods by completing special tasks that are great fun, along with other fantastic game features. Come experience an exhilarating adventure that's just packed with fun!,Titan Slots II is full of all kinds of great gameplay, and is especially designed for your mobile devices to give you the most realistic Las Vegas casino experience.,If you love slots games, then you absolutely cannot miss out on Titan Slots II.,Amazing features of Titan Slots II include:,- A huge variety of slots games that provide you with all kinds of really fun slots experiences!,- Huge payouts that will have you more excited than you've ever been!,- Bonus games, free spins, and other special modes that are designed for non-stop fun!,- Bonus slots: special slots-style bonus games with awesome payouts; you'll be winning more than you ever imagined while experiencing something that's truly a treat for the senses!,- Daily challenges: complete the objectives to win rewards!,- Regularly updated with new slot machines; the fun never stops!,- Offline mode: Keep playing for free, even when you don't have an Internet connection.",,,"  500 - 1,000  ",11-Mar-16, 1.0.11  , 77M  ,,90,3.9,Titan Slots II
      2.3 and up    ,Card,"Play the #1 FREE SOLITAIRE (Klondike Solitaire/Patience) card game on Android!,9,8,7,6,5,4,3,2,1,0,Download now,It is the best free solitaire！！,Vegas Solitaire : Lucky Bet (also known as Klondike or Classic Solitaire) is the Best Solitaire card game on Android, get it for Free Now!,Vegas Solitaire：Lucky Bet has Klondike Solitaire 1 card and Klondike Solitaire 3 card draw. To make the game much cooler, you can bet coins before each game and win a lot by every card you manage to collect!,If you love solitaire, spider solitaire, freecell, or any other patience card games, don't miss out on the best solitaire for your phone and tablet!,Come and enjoy Vegas Solitaire：Lucky Bet！！,Solitaire Classic Highlights:,1 Klondike Solitaire Draw 1 card,2 Klondike Solitaire Draw 3 cards,3 Custom themes and card backgrounds,4 Bet to win tons of coins,5 Lucky Bet:Bet for Luck,6 Daily Challenge,7 Fun and surprising Achievements,8 Phone and Tablet support,Simple and addicting, Vegas Solitaire : Lucky Bet is sure to bring back old memories of the days when Windows Solitaire reigned supreme. ,We’ve taken the quintessential solitaire experience and revamped it for the new century.,What are you waiting for? This simple gem is the ultimate solitaire challenge - play Solitaire Classic now on Android for FREE!,9,8,7,6,5,4,3,2,1,0,Go！！,9,8,7,6,5,4,3,2,1,0,download now！！,9,8,7,6,5,4,3,2,1,0,download it now！！",,,"  50,000 - 100,000  ",12-Mar-16,1.5, 9.9M  ,,890,4.3,Vegas Solitaire : Lucky Bet
      2.3 and up    ,Action,"Run through the rooftops of The City Pixelopolis and battle evil in this epic Pixelated action game. Rescue damsels in distress and unlock 20 different heroes in your quest to save the work.,- Fast paced action runner,- 20 Different heroes with different abilities,- 20 Different stages,- Complete challenges to earn rewards,- Defeat villainous thugs,- Compete in the global leaderboard to become the greatest super hero,- Great pixelated fun gameplay,- Fast paced gameplay,- Free to Play",,,"  100,000 - 500,000  ",3-Mar-16, 1.0.1  , 28M  ,,"1,831",3.2,Pixel Superhero Adventures
      4.0.3 and up    ,Puzzle,"""ðððð funny girl bubble free games ðððð,_______________________________________,A fun bubble single games.,Eliminate a set of casual puzzle games in one.,A need to strengthen the mental brain training games.,A test of mental endurance Mental Games,A lovely children's picture style mobile games.,A beautiful dream girl mobile games.,Funny girl bubble free games has smooth gaming experience, it also has a stylish design, a sense of ultra-high-definition screen, carefully designed levels.,Start in a limited number of steps of the brain as much as possible to give the desired items, it would be a cool games, but it could also be a terrible games!,The most fun bubble shooting games wars begin!,________________________________________,Funny girl bubble free games features:,1, sweet dream candy bubbles of scenes.,2, the details of the various effects to the pixel level design.,3, play simple and approachable.,4, well-designed levels, become a great memory games.,5, has a very close games guide.,________________________________________,Funny girl bubble free games play:,Traditional Bubble Shooter gameplay, rules similar to the traditional match 3 games like matching three or more of the same element can be removed, eliminating more elements get more points, as well as hidden objects you need to get, there's more many free items available, the rational use of props, easily pass through the successful completion of the task.,Within a specified number of steps required to complete the collection target, you can cross the border.""",,,"  5,000 - 10,000  ",8-Mar-16,2, 19M  ,,41,3.8,fun girl bubble games
      4.0 and up    ,Action,"It’s a DRAGON-eat-HUMAN world!,Wage epic war against land usurpers and those who have built fortresses in place of your domain. Fly a fire breathing creature from the Medieval Age (remember, that time when chivalry existed?). In this game, myth and fantasy is a reality. Feel the terror and menace of being a dragon! Using a bird’s eye view, aim at your target from above with fire balls. Fly from your rocky nest and sow the path of destruction! Attack the fortress, guarded by highly trained archers shooting fiery arrows. Fight other mythical monsters who’ve joined hands with your enemies and claim back what's yours. Unleash counter dragons for epic battles. Kill dragon slayers, knights, and all kind of creatures and farm animals!,Warrior Dragon 3D Features:,•Monstrous 3D Animated Dragons for you to control and fly.,•High Quality 3D Medieval Scenery,•Smooth controls And Amazing Visual Effects,•Epic Battles With Elite Archers, Cyclops And Other Mythical Creatures.,•Realistic Fire Breathing Action.,•Life Like animations.,•Fight Against Invading Knights, Dragon Slayers, and Monsters.,Tapinator (Ticker: TAPM) designs, develops, and publishes games on mobile platforms. The Company’s portfolio includes over 200 mobile gaming titles that, collectively, have achieved over 190 million downloads. Tapinator is headquartered in New York. For more info, visit Tapinator.com",,,"  10,000 - 50,000  ",2-Mar-16,1.1, 55M  ,,308,3.9,Warrior Dragon 2016
      3.0 and up    ,Pretend Play,"Welcome to the cutest store in town!,Kiki, our little panda, his mom and some of his friends are waiting for your help! Visit the store to buy groceries with them!,EXPLORE AND FIND,In our Supermarket there are things hidden everywhere, find all the products we have ready for you. Bread, cakes, fruits, vegetables, snacks, dairy products, toys, clothes, drinks and even a pet!,HELP AND SHARE,Our animals have to do the grocery shopping today! Play together with friends and family and help your favorite characters to do their grocery shopping!,LEARN AND HAVE FUN,New words, new concepts, new ideas! Many activities waiting for you! Join the fun and enjoy this educational game for children!,Key Features:,- Learn new words!,- Use a shopping list to explore this wonderful world!,- Play and have fun with different animals and colorful scenarios! Unlock them!,- Help mom and dad to do the grocery shopping!,__________,▶Design concepts：,We focus on inspiration, not just learning.,We focus on capacity-building, rather than a single cognition.,We focus on entertaining, rather than spoon-feeding teaching.,Take the baby bus, which is loaded with a happy childhood!,___________,▶ About Babybus:,Baby Bus is the first trusted brand in early childhood educational software. The mobile applications are designed and developed specifically for kids. ,___________,▶Tips: In the search bar, enter ""BabyBus"" to find all of our products.,___________,Feel free to tell us your thoughts on our games and services using the contact methods listed below: ,E-mail: ,en@babybus.com,Website: ,http://www.babybus.com,Facebook: ,https://www.facebook.com/BabyBusENGLISH",,,"  100,000 - 500,000  ",8-Mar-16, 8.8.6.7  , 48M  ,,"1,510",4.1,Baby Panda's Supermarket
      3.1 and up    ,Adventure,"Hold your finger on your screen and dodge hordes of foul creatures and dangerous traps.,Go as far as you can to set your highest score and compete against friends.,Collect crystals to buy and upgrade special items that will help you along the way. You can also pick up special power ups to becoming even more powerful.,How long will your adventure be?,- Simple one touch gameplay,- Each game is totally random,- More than 10 items to collect and upgrade,- More than 30 achievements to complete,- Discover beautiful worlds ,- Challenge your friends on Facebook and beat their score!",,,"  50,000 - 100,000  ",11-Mar-16, 1.0.6  , 35M  ,Top Developer,"2,157",4,Road to be King
      4.0 and up    ,Action,"GET BACK TO STRAIGHT 2 COMPTON IN THIS EPIC SEQUEL OF SAN ANDREAS! ,Experience a real open world on your mobile device, the best that has ever been on the Google Play Store. Steal vehicles from drivers, shoot everyone on sight or just walk for miles to come in two epic areas. The entire Compton area has been revamped and upgraded for this sequel and next to this there is a new area, Upper East Compton, where the elite of Compton and San Andreas thrive and become even more rich over the shoulders of the normal working man. ,YOU SERVED YOUR TIME, GET OUT OF COMPTON PRISON AND ESCAPE TO REALITY,Prison time isn’t all cherries, it’s hard living the prison life. After a long sentence you got out and able to take back your life. This will not be easy as there are a lot of former-enemies looking to take you out. Wherever you are, whatever you are doing, always take a look over your shoulders! San Andreas is not a place where you can take it easy so be on your guard. ,MULTIPLE MISSION TYPES TO REALLY GET THE MOST OUT OF CALIFORNIA! ,Straight 2 Compton 2 has 5 different mission types: Kill Frenzy, Kill Target, Steal Vehicle and Deliver Package. With the Kill Frenzy mission you will be forced to defend yourself against multiple opponents, so shoot your way out of this! Kill Target missions will have you searching for one specific target, and it’s your job to eliminate him/her however you want to. The Steal Vehicles will have you stealing a certain vehicle with or without alarming anyone, really pay attention! Last but not least you will have to deliver certain packages to certain people.,SAN ANDREAS STRAIGHT 2 COMPTON - GAME FEATURES: ,Explore an epic open world! ,Walk, Drive, Steal, Shoot, Kill and Run in this action packed mobile game! ,Play Daily Missions to gain epic rewards! ,5 different missions types with a lot of variety! ,Completely free!",,,"  100,000 - 500,000  ",10-Mar-16,1.5, 86M  ,Top Developer,"1,740",3.9,San Andreas Straight 2 Compton
